TOTAL ACCCOUNTS ,TOTAL TRANSACTIONS ,NR THREADS ,TIME TAKEN (ms)
        1000000 ,         100000000 ,         2 ,          81548
        1000000 ,         100000000 ,         3 ,          60642
        1000000 ,         100000000 ,         5 ,          59268
        1000000 ,         100000000 ,         9 ,          74668
