The number of 3-dimensional subspaces of the vector space Z^5_2 over Z_2 is 155
A basis for each subspace is:
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (0, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (0, 1, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 0, 1, 0), (1, 1, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (0, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 0, 0), (1, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (0, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 0, 1, 1, 0), (1, 1, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 0, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 0, 1, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 0, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 0, 1, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 0, 1), (0, 1, 1, 1, 0), (1, 0, 1, 1, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (0, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 0), (1, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (0, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (0, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 1, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 0, 1, 0, 1), (1, 1, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 0), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 0, 0, 1), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 0), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 1, 0, 0))
((0, 0, 0, 1, 0), (0, 1, 1, 0, 1), (1, 0, 1, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (0, 1, 0, 0, 0))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (0, 1, 0, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 0, 0, 0, 0))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 0, 0, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 1, 0, 0, 0))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 0), (1, 1, 0, 0, 1))
((0, 0, 0, 1, 1), (0, 0, 1, 0, 1), (0, 1, 0, 0, 0))
