The number of bases is 20160
The vectors of each such basis are:
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,0,0,0))
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,0,0,1))
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,0,1,0))
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,0,1,1))
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(0,1,0,0),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,0,0,0))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,0,0,1))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,0,1,0))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,0,1,1))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(0,1,0,1),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,0,0,0))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,0,0,1))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,0,1,0))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,0,1,1))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(0,1,1,0),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,0,0,0))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,0,0,1))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,0,1,0))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,0,1,1))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(0,1,1,1),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(0,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(0,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(0,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(0,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,0,0),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(0,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(0,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(0,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(0,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,0,1),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(0,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(0,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(0,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(0,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,1,0),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(0,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(0,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(0,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(0,1,1,1))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(1,1,0,0))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(1,1,0,1))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(1,1,1,0))
((0,0,0,1),(0,0,1,0),(1,0,1,1),(1,1,1,1))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(0,1,0,0))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(0,1,0,1))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(0,1,1,0))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(0,1,1,1))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(1,0,0,0))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(1,0,0,1))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(1,0,1,0))
((0,0,0,1),(0,0,1,0),(1,1,0,0),(1,0,1,1))
((0,0,0,1),(0,0,1,0),(1,1,0,1),(0,1,0,0))
((0,0,0,1),(0,0,1,0),(1,1,0,1),(0,1,0,1))
((0,0,0,1),(0,0,1,0),(1,1,0,1),(0,1,1,0))
